"Statistic Label","Year","Domestic","Reason for Journey","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2019","Outbound","Other reasons","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2020","Domestic","All reasons for journey","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Domestic","Holiday","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2020","Domestic","Business","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2020","Domestic","Visiting friends/relatives","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2020","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Domestic","Other reasons","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Outbound","All reasons for journey","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2020","Outbound","Holiday","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Business","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Visiting friends/relatives","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Other reasons","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Domestic","All reasons for journey","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021","Domestic","Holiday","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2021","Domestic","Business","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2021","Domestic","Visiting friends/relatives","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2021","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Domestic","Other reasons","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021","Outbound","All reasons for journey","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2021","Outbound","Holiday","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2021","Outbound","Business","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2021","Outbound","Visiting friends/relatives","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2021","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Outbound","Other reasons","Nights per Trip","14"
"Average Length of Stay by Irish Residents","2022","Domestic","All reasons for journey","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Domestic","Holiday","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2022","Domestic","Business","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2022","Domestic","Visiting friends/relatives","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2022","Domestic","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Domestic","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Domestic","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Domestic","Other reasons","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Outbound","All reasons for journey","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2022","Outbound","Holiday","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2022","Outbound","Business","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2022","Outbound","Visiting friends/relatives","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2022","Outbound","Education and training","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Outbound","Work/looking for work","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Outbound","Sporting events","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Outbound","Other reasons","Nights per Trip","8.9"
"Estimated Expenditure by Irish Residents","2000","Domestic","All reasons for journey","Euro Million","706.6"
"Estimated Expenditure by Irish Residents","2000","Domestic","Holiday","Euro Million","447.7"
"Estimated Expenditure by Irish Residents","2000","Domestic","Business","Euro Million","109.5"
"Estimated Expenditure by Irish Residents","2000","Domestic","Visiting friends/relatives","Euro Million","81.3"
"Estimated Expenditure by Irish Residents","2000","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2000","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2000","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2000","Domestic","Other reasons","Euro Million","68.1"
"Estimated Expenditure by Irish Residents","2000","Outbound","All reasons for journey","Euro Million","3187.3"
"Estimated Expenditure by Irish Residents","2000","Outbound","Holiday","Euro Million","1984.5"
"Estimated Expenditure by Irish Residents","2000","Outbound","Business","Euro Million","740.3"
"Estimated Expenditure by Irish Residents","2000","Outbound","Visiting friends/relatives","Euro Million","297.5"
"Estimated Expenditure by Irish Residents","2000","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2000","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2000","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2000","Outbound","Other reasons","Euro Million","165"
"Estimated Expenditure by Irish Residents","2001","Domestic","All reasons for journey","Euro Million","879.9"
"Estimated Expenditure by Irish Residents","2001","Domestic","Holiday","Euro Million","549.7"
"Estimated Expenditure by Irish Residents","2001","Domestic","Business","Euro Million","149.3"
"Estimated Expenditure by Irish Residents","2001","Domestic","Visiting friends/relatives","Euro Million","86.6"
"Estimated Expenditure by Irish Residents","2001","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2001","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2001","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2001","Domestic","Other reasons","Euro Million","94.3"
"Estimated Expenditure by Irish Residents","2001","Outbound","All reasons for journey","Euro Million","3549.7"
"Estimated Expenditure by Irish Residents","2001","Outbound","Holiday","Euro Million","2252"
"Estimated Expenditure by Irish Residents","2001","Outbound","Business","Euro Million","810.5"
"Estimated Expenditure by Irish Residents","2001","Outbound","Visiting friends/relatives","Euro Million","290.4"
"Estimated Expenditure by Irish Residents","2001","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2001","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2001","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2001","Outbound","Other reasons","Euro Million","196.8"
"Estimated Expenditure by Irish Residents","2002","Domestic","All reasons for journey","Euro Million","894.4"
"Estimated Expenditure by Irish Residents","2002","Domestic","Holiday","Euro Million","501.6"
"Estimated Expenditure by Irish Residents","2002","Domestic","Business","Euro Million","152.9"
"Estimated Expenditure by Irish Residents","2002","Domestic","Visiting friends/relatives","Euro Million","97.2"
"Estimated Expenditure by Irish Residents","2002","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2002","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2002","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2002","Domestic","Other reasons","Euro Million","97.7"
"Estimated Expenditure by Irish Residents","2002","Outbound","All reasons for journey","Euro Million","3924"
"Estimated Expenditure by Irish Residents","2002","Outbound","Holiday","Euro Million","2565.3"
"Estimated Expenditure by Irish Residents","2002","Outbound","Business","Euro Million","796.1"
"Estimated Expenditure by Irish Residents","2002","Outbound","Visiting friends/relatives","Euro Million","351.2"
"Estimated Expenditure by Irish Residents","2002","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2002","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2002","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2002","Outbound","Other reasons","Euro Million","211.4"
"Estimated Expenditure by Irish Residents","2003","Domestic","All reasons for journey","Euro Million","970.1"
"Estimated Expenditure by Irish Residents","2003","Domestic","Holiday","Euro Million","575.9"
"Estimated Expenditure by Irish Residents","2003","Domestic","Business","Euro Million","157.6"
"Estimated Expenditure by Irish Residents","2003","Domestic","Visiting friends/relatives","Euro Million","114"
"Estimated Expenditure by Irish Residents","2003","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2003","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2003","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2003","Domestic","Other reasons","Euro Million","123.4"
"Estimated Expenditure by Irish Residents","2003","Outbound","All reasons for journey","Euro Million","4092.2"
"Estimated Expenditure by Irish Residents","2003","Outbound","Holiday","Euro Million","2720.1"
"Estimated Expenditure by Irish Residents","2003","Outbound","Business","Euro Million","792.3"
"Estimated Expenditure by Irish Residents","2003","Outbound","Visiting friends/relatives","Euro Million","366.7"
"Estimated Expenditure by Irish Residents","2003","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2003","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2003","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2003","Outbound","Other reasons","Euro Million","213.1"
"Estimated Expenditure by Irish Residents","2004","Domestic","All reasons for journey","Euro Million","1037.2"
"Estimated Expenditure by Irish Residents","2004","Domestic","Holiday","Euro Million","624.9"
"Estimated Expenditure by Irish Residents","2004","Domestic","Business","Euro Million","162.5"
"Estimated Expenditure by Irish Residents","2004","Domestic","Visiting friends/relatives","Euro Million","121.1"
"Estimated Expenditure by Irish Residents","2004","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2004","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2004","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2004","Domestic","Other reasons","Euro Million","128.7"
"Estimated Expenditure by Irish Residents","2004","Outbound","All reasons for journey","Euro Million","4258.2"
"Estimated Expenditure by Irish Residents","2004","Outbound","Holiday","Euro Million","2927.1"
"Estimated Expenditure by Irish Residents","2004","Outbound","Business","Euro Million","741.5"
"Estimated Expenditure by Irish Residents","2004","Outbound","Visiting friends/relatives","Euro Million","387.4"
"Estimated Expenditure by Irish Residents","2004","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2004","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2004","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2004","Outbound","Other reasons","Euro Million","202.2"
"Estimated Expenditure by Irish Residents","2005","Domestic","All reasons for journey","Euro Million","1164.5"
"Estimated Expenditure by Irish Residents","2005","Domestic","Holiday","Euro Million","706.8"
"Estimated Expenditure by Irish Residents","2005","Domestic","Business","Euro Million","188.3"
"Estimated Expenditure by Irish Residents","2005","Domestic","Visiting friends/relatives","Euro Million","142.4"
"Estimated Expenditure by Irish Residents","2005","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2005","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2005","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2005","Domestic","Other reasons","Euro Million","127"
"Estimated Expenditure by Irish Residents","2005","Outbound","All reasons for journey","Euro Million","5044.1"
"Estimated Expenditure by Irish Residents","2005","Outbound","Holiday","Euro Million","3407.1"
"Estimated Expenditure by Irish Residents","2005","Outbound","Business","Euro Million","840.6"
"Estimated Expenditure by Irish Residents","2005","Outbound","Visiting friends/relatives","Euro Million","531.7"
"Estimated Expenditure by Irish Residents","2005","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2005","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2005","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2005","Outbound","Other reasons","Euro Million","264.7"
"Estimated Expenditure by Irish Residents","2006","Domestic","All reasons for journey","Euro Million","1375.2"
"Estimated Expenditure by Irish Residents","2006","Domestic","Holiday","Euro Million","872.7"
"Estimated Expenditure by Irish Residents","2006","Domestic","Business","Euro Million","227.3"
"Estimated Expenditure by Irish Residents","2006","Domestic","Visiting friends/relatives","Euro Million","181.8"
"Estimated Expenditure by Irish Residents","2006","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2006","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2006","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2006","Domestic","Other reasons","Euro Million","93.4"
"Estimated Expenditure by Irish Residents","2006","Outbound","All reasons for journey","Euro Million","6134.5"
"Estimated Expenditure by Irish Residents","2006","Outbound","Holiday","Euro Million","4363.9"
"Estimated Expenditure by Irish Residents","2006","Outbound","Business","Euro Million","849"
"Estimated Expenditure by Irish Residents","2006","Outbound","Visiting friends/relatives","Euro Million","696.7"
"Estimated Expenditure by Irish Residents","2006","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2006","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2006","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2006","Outbound","Other reasons","Euro Million","224.9"
"Estimated Expenditure by Irish Residents","2007","Domestic","All reasons for journey","Euro Million","1551"
"Estimated Expenditure by Irish Residents","2007","Domestic","Holiday","Euro Million","1028.1"
"Estimated Expenditure by Irish Residents","2007","Domestic","Business","Euro Million","194.1"
"Estimated Expenditure by Irish Residents","2007","Domestic","Visiting friends/relatives","Euro Million","219.7"
"Estimated Expenditure by Irish Residents","2007","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2007","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2007","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2007","Domestic","Other reasons","Euro Million","109.1"
"Estimated Expenditure by Irish Residents","2007","Outbound","All reasons for journey","Euro Million","7344.8"
"Estimated Expenditure by Irish Residents","2007","Outbound","Holiday","Euro Million","5542.4"
"Estimated Expenditure by Irish Residents","2007","Outbound","Business","Euro Million","784.3"
"Estimated Expenditure by Irish Residents","2007","Outbound","Visiting friends/relatives","Euro Million","784.7"
"Estimated Expenditure by Irish Residents","2007","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2007","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2007","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2007","Outbound","Other reasons","Euro Million","233.4"
"Estimated Expenditure by Irish Residents","2008","Domestic","All reasons for journey","Euro Million","1546"
"Estimated Expenditure by Irish Residents","2008","Domestic","Holiday","Euro Million","1027.9"
"Estimated Expenditure by Irish Residents","2008","Domestic","Business","Euro Million","162.8"
"Estimated Expenditure by Irish Residents","2008","Domestic","Visiting friends/relatives","Euro Million","215.7"
"Estimated Expenditure by Irish Residents","2008","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2008","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2008","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2008","Domestic","Other reasons","Euro Million","139.6"
"Estimated Expenditure by Irish Residents","2008","Outbound","All reasons for journey","Euro Million","7187"
"Estimated Expenditure by Irish Residents","2008","Outbound","Holiday","Euro Million","5282.7"
"Estimated Expenditure by Irish Residents","2008","Outbound","Business","Euro Million","785.7"
"Estimated Expenditure by Irish Residents","2008","Outbound","Visiting friends/relatives","Euro Million","840.8"
"Estimated Expenditure by Irish Residents","2008","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2008","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2008","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2008","Outbound","Other reasons","Euro Million","277.8"
"Estimated Expenditure by Irish Residents","2009","Domestic","All reasons for journey","Euro Million","1389.8"
"Estimated Expenditure by Irish Residents","2009","Domestic","Holiday","Euro Million","843.3"
"Estimated Expenditure by Irish Residents","2009","Domestic","Business","Euro Million","136.2"
"Estimated Expenditure by Irish Residents","2009","Domestic","Visiting friends/relatives","Euro Million","171.1"
"Estimated Expenditure by Irish Residents","2009","Domestic","Education and training","Euro Million","61.9"
"Estimated Expenditure by Irish Residents","2009","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2009","Domestic","Sporting events","Euro Million","39.3"
"Estimated Expenditure by Irish Residents","2009","Domestic","Other reasons","Euro Million","138"
"Estimated Expenditure by Irish Residents","2009","Outbound","All reasons for journey","Euro Million","5786.9"
"Estimated Expenditure by Irish Residents","2009","Outbound","Holiday","Euro Million","3949.8"
"Estimated Expenditure by Irish Residents","2009","Outbound","Business","Euro Million","649"
"Estimated Expenditure by Irish Residents","2009","Outbound","Visiting friends/relatives","Euro Million","732.9"
"Estimated Expenditure by Irish Residents","2009","Outbound","Education and training","Euro Million","129.6"
"Estimated Expenditure by Irish Residents","2009","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2009","Outbound","Sporting events","Euro Million","136.2"
"Estimated Expenditure by Irish Residents","2009","Outbound","Other reasons","Euro Million","189.4"
"Estimated Expenditure by Irish Residents","2010","Domestic","All reasons for journey","Euro Million","1560.5"
"Estimated Expenditure by Irish Residents","2010","Domestic","Holiday","Euro Million","971.9"
"Estimated Expenditure by Irish Residents","2010","Domestic","Business","Euro Million","85.9"
"Estimated Expenditure by Irish Residents","2010","Domestic","Visiting friends/relatives","Euro Million","270.5"
"Estimated Expenditure by Irish Residents","2010","Domestic","Education and training","Euro Million","40.5"
"Estimated Expenditure by Irish Residents","2010","Domestic","Work/looking for work","Euro Million","19.5"
"Estimated Expenditure by Irish Residents","2010","Domestic","Sporting events","Euro Million","54.1"
"Estimated Expenditure by Irish Residents","2010","Domestic","Other reasons","Euro Million","118.1"
"Estimated Expenditure by Irish Residents","2010","Outbound","All reasons for journey","Euro Million","5895.7"
"Estimated Expenditure by Irish Residents","2010","Outbound","Holiday","Euro Million","3812.9"
"Estimated Expenditure by Irish Residents","2010","Outbound","Business","Euro Million","628.5"
"Estimated Expenditure by Irish Residents","2010","Outbound","Visiting friends/relatives","Euro Million","872.8"
"Estimated Expenditure by Irish Residents","2010","Outbound","Education and training","Euro Million","119.3"
"Estimated Expenditure by Irish Residents","2010","Outbound","Work/looking for work","Euro Million","91.2"
"Estimated Expenditure by Irish Residents","2010","Outbound","Sporting events","Euro Million","133.9"
"Estimated Expenditure by Irish Residents","2010","Outbound","Other reasons","Euro Million","237.2"
"Estimated Expenditure by Irish Residents","2011","Domestic","All reasons for journey","Euro Million","1415.9"
"Estimated Expenditure by Irish Residents","2011","Domestic","Holiday","Euro Million","864.9"
"Estimated Expenditure by Irish Residents","2011","Domestic","Business","Euro Million","76.9"
"Estimated Expenditure by Irish Residents","2011","Domestic","Visiting friends/relatives","Euro Million","265.9"
"Estimated Expenditure by Irish Residents","2011","Domestic","Education and training","Euro Million","26.5"
"Estimated Expenditure by Irish Residents","2011","Domestic","Work/looking for work","Euro Million","23.4"
"Estimated Expenditure by Irish Residents","2011","Domestic","Sporting events","Euro Million","51"
"Estimated Expenditure by Irish Residents","2011","Domestic","Other reasons","Euro Million","107.2"
"Estimated Expenditure by Irish Residents","2011","Outbound","All reasons for journey","Euro Million","5408.1"
"Estimated Expenditure by Irish Residents","2011","Outbound","Holiday","Euro Million","3148.6"
"Estimated Expenditure by Irish Residents","2011","Outbound","Business","Euro Million","744.8"
"Estimated Expenditure by Irish Residents","2011","Outbound","Visiting friends/relatives","Euro Million","938.4"
"Estimated Expenditure by Irish Residents","2011","Outbound","Education and training","Euro Million","72.7"
"Estimated Expenditure by Irish Residents","2011","Outbound","Work/looking for work","Euro Million","108.8"
"Estimated Expenditure by Irish Residents","2011","Outbound","Sporting events","Euro Million","134.5"
"Estimated Expenditure by Irish Residents","2011","Outbound","Other reasons","Euro Million","260.4"
"Estimated Expenditure by Irish Residents","2012","Domestic","All reasons for journey","Euro Million","1514.2"
"Estimated Expenditure by Irish Residents","2012","Domestic","Holiday","Euro Million","876.2"
"Estimated Expenditure by Irish Residents","2012","Domestic","Business","Euro Million","80.5"
"Estimated Expenditure by Irish Residents","2012","Domestic","Visiting friends/relatives","Euro Million","289.6"
"Estimated Expenditure by Irish Residents","2012","Domestic","Education and training","Euro Million","53.4"
"Estimated Expenditure by Irish Residents","2012","Domestic","Work/looking for work","Euro Million","37.9"
"Estimated Expenditure by Irish Residents","2012","Domestic","Sporting events","Euro Million","53.3"
"Estimated Expenditure by Irish Residents","2012","Domestic","Other reasons","Euro Million","123.4"
"Estimated Expenditure by Irish Residents","2012","Outbound","All reasons for journey","Euro Million","5342.5"
"Estimated Expenditure by Irish Residents","2012","Outbound","Holiday","Euro Million","3371.6"
"Estimated Expenditure by Irish Residents","2012","Outbound","Business","Euro Million","631.4"
"Estimated Expenditure by Irish Residents","2012","Outbound","Visiting friends/relatives","Euro Million","800.9"
"Estimated Expenditure by Irish Residents","2012","Outbound","Education and training","Euro Million","78.7"
"Estimated Expenditure by Irish Residents","2012","Outbound","Work/looking for work","Euro Million","131.1"
"Estimated Expenditure by Irish Residents","2012","Outbound","Sporting events","Euro Million","151.3"
"Estimated Expenditure by Irish Residents","2012","Outbound","Other reasons","Euro Million","177.4"
"Estimated Expenditure by Irish Residents","2013","Domestic","All reasons for journey","Euro Million","1533"
"Estimated Expenditure by Irish Residents","2013","Domestic","Holiday","Euro Million","947.2"
"Estimated Expenditure by Irish Residents","2013","Domestic","Business","Euro Million","84.2"
"Estimated Expenditure by Irish Residents","2013","Domestic","Visiting friends/relatives","Euro Million","284.8"
"Estimated Expenditure by Irish Residents","2013","Domestic","Education and training","Euro Million","46.4"
"Estimated Expenditure by Irish Residents","2013","Domestic","Work/looking for work","Euro Million","16.9"
"Estimated Expenditure by Irish Residents","2013","Domestic","Sporting events","Euro Million","49.9"
"Estimated Expenditure by Irish Residents","2013","Domestic","Other reasons","Euro Million","103.6"
"Estimated Expenditure by Irish Residents","2013","Outbound","All reasons for journey","Euro Million","5384.2"
"Estimated Expenditure by Irish Residents","2013","Outbound","Holiday","Euro Million","3192.8"
"Estimated Expenditure by Irish Residents","2013","Outbound","Business","Euro Million","812.4"
"Estimated Expenditure by Irish Residents","2013","Outbound","Visiting friends/relatives","Euro Million","888"
"Estimated Expenditure by Irish Residents","2013","Outbound","Education and training","Euro Million","90.1"
"Estimated Expenditure by Irish Residents","2013","Outbound","Work/looking for work","Euro Million","122.1"
"Estimated Expenditure by Irish Residents","2013","Outbound","Sporting events","Euro Million","126.3"
"Estimated Expenditure by Irish Residents","2013","Outbound","Other reasons","Euro Million","152.5"
"Estimated Expenditure by Irish Residents","2014","Domestic","All reasons for journey","Euro Million","1713.5"
"Estimated Expenditure by Irish Residents","2014","Domestic","Holiday","Euro Million","992.8"
"Estimated Expenditure by Irish Residents","2014","Domestic","Business","Euro Million","110.3"
"Estimated Expenditure by Irish Residents","2014","Domestic","Visiting friends/relatives","Euro Million","327"
"Estimated Expenditure by Irish Residents","2014","Domestic","Education and training","Euro Million","40.6"
"Estimated Expenditure by Irish Residents","2014","Domestic","Work/looking for work","Euro Million","21"
"Estimated Expenditure by Irish Residents","2014","Domestic","Sporting events","Euro Million","67.3"
"Estimated Expenditure by Irish Residents","2014","Domestic","Other reasons","Euro Million","154.5"
"Estimated Expenditure by Irish Residents","2014","Outbound","All reasons for journey","Euro Million","5590.2"
"Estimated Expenditure by Irish Residents","2014","Outbound","Holiday","Euro Million","3391.1"
"Estimated Expenditure by Irish Residents","2014","Outbound","Business","Euro Million","812.6"
"Estimated Expenditure by Irish Residents","2014","Outbound","Visiting friends/relatives","Euro Million","912.1"
"Estimated Expenditure by Irish Residents","2014","Outbound","Education and training","Euro Million","72.3"
"Estimated Expenditure by Irish Residents","2014","Outbound","Work/looking for work","Euro Million","114.1"
"Estimated Expenditure by Irish Residents","2014","Outbound","Sporting events","Euro Million","124"
"Estimated Expenditure by Irish Residents","2014","Outbound","Other reasons","Euro Million","163.9"
"Estimated Expenditure by Irish Residents","2015","Domestic","All reasons for journey","Euro Million","1725.3"
"Estimated Expenditure by Irish Residents","2015","Domestic","Holiday","Euro Million","1070.4"
"Estimated Expenditure by Irish Residents","2015","Domestic","Business","Euro Million","98"
"Estimated Expenditure by Irish Residents","2015","Domestic","Visiting friends/relatives","Euro Million","296.5"
"Estimated Expenditure by Irish Residents","2015","Domestic","Education and training","Euro Million","60.7"
"Estimated Expenditure by Irish Residents","2015","Domestic","Work/looking for work","Euro Million","17.9"
"Estimated Expenditure by Irish Residents","2015","Domestic","Sporting events","Euro Million","58.7"
"Estimated Expenditure by Irish Residents","2015","Domestic","Other reasons","Euro Million","123.1"
"Estimated Expenditure by Irish Residents","2015","Outbound","All reasons for journey","Euro Million","6022.1"
"Estimated Expenditure by Irish Residents","2015","Outbound","Holiday","Euro Million","3836.3"
"Estimated Expenditure by Irish Residents","2015","Outbound","Business","Euro Million","880.6"
"Estimated Expenditure by Irish Residents","2015","Outbound","Visiting friends/relatives","Euro Million","759.7"
"Estimated Expenditure by Irish Residents","2015","Outbound","Education and training","Euro Million","71"
"Estimated Expenditure by Irish Residents","2015","Outbound","Work/looking for work","Euro Million","154.6"
"Estimated Expenditure by Irish Residents","2015","Outbound","Sporting events","Euro Million","168.1"
"Estimated Expenditure by Irish Residents","2015","Outbound","Other reasons","Euro Million","151.9"
"Estimated Expenditure by Irish Residents","2016","Domestic","All reasons for journey","Euro Million","1797.7"
"Estimated Expenditure by Irish Residents","2016","Domestic","Holiday","Euro Million","1135.8"
"Estimated Expenditure by Irish Residents","2016","Domestic","Business","Euro Million","106.3"
"Estimated Expenditure by Irish Residents","2016","Domestic","Visiting friends/relatives","Euro Million","297"
"Estimated Expenditure by Irish Residents","2016","Domestic","Education and training","Euro Million","53.9"
"Estimated Expenditure by Irish Residents","2016","Domestic","Work/looking for work","Euro Million","19.2"
"Estimated Expenditure by Irish Residents","2016","Domestic","Sporting events","Euro Million","64.3"
"Estimated Expenditure by Irish Residents","2016","Domestic","Other reasons","Euro Million","121.2"
"Estimated Expenditure by Irish Residents","2016","Outbound","All reasons for journey","Euro Million","6539"
"Estimated Expenditure by Irish Residents","2016","Outbound","Holiday","Euro Million","3926.8"
"Estimated Expenditure by Irish Residents","2016","Outbound","Business","Euro Million","1094.1"
"Estimated Expenditure by Irish Residents","2016","Outbound","Visiting friends/relatives","Euro Million","893.8"
"Estimated Expenditure by Irish Residents","2016","Outbound","Education and training","Euro Million","92.8"
"Estimated Expenditure by Irish Residents","2016","Outbound","Work/looking for work","Euro Million","144.2"
"Estimated Expenditure by Irish Residents","2016","Outbound","Sporting events","Euro Million","177.9"
"Estimated Expenditure by Irish Residents","2016","Outbound","Other reasons","Euro Million","209.2"
"Estimated Expenditure by Irish Residents","2017","Domestic","All reasons for journey","Euro Million","1879.1"
"Estimated Expenditure by Irish Residents","2017","Domestic","Holiday","Euro Million","1129.2"
"Estimated Expenditure by Irish Residents","2017","Domestic","Business","Euro Million","123.3"
"Estimated Expenditure by Irish Residents","2017","Domestic","Visiting friends/relatives","Euro Million","353.1"
